,tweets
9196,evidence pre ticked ballot paper rejected local #ugandadecides https://t.co/vgzwqk5vwm
9197,"way thing going #ugandadecides , highly likely . https://t.co/xjrh3pgk7g"
9198,uganda ? ? ? electoral commission extends voting time https://t.co/wfh0r7xzmy via @dailynation #ugandadecides
9199,god . . . love country ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? #ugandadecides https://t.co/g1nbqtmt6m
9200,"rate , amama might actually even come third . #ugandadecides"
9201,"ntungamo , gerald karuhunga claim supporter intimidated arrested reason #ugandadecides #croozefmnews"
9202,"prepared day since forever , material arrive late . smell fish . lot . fishy . #ugandadecides"
9203,free fair election long shot . #ugandadecides https://t.co/gvtnbayfqr
9204,retweeted patrick mugumya ( @mugumya ) : polling station declares : museveni 70 besigye 131 #ugandadecides
9205,""" @markopolo94 : close vpns ugandan find vpns vpns . shall tweet till get change . #ugandadecides """
9206,lol you're like people kyebando whose ballot paper didn't come they're saying they've m7 #ugandadecides https://t.co/w5wr3cbl4n
9207,election basically extension nrm party primary massive rigging exercise . #ugandadecides
9208,electoral commission announce voting extended social medium blocking . babalooga ? #ugandadecides
9209,friend went vote place wakiso kampala kindly come back june . enjoying driving place #ugandadecides
9210,ec joke . guarantee people done voting 7 pm contigencies anomaly . #ugandadecides
9211,burunga polling station burunga - kazo county besigye 94 museveni 316 possibly 800 voter #ugandadecides @nbstv @ntvuganda
9212,regulator's tool kit rule no2 : never take regulatory action cant fully enforce . ucc forgot #ugandadecides #socialmedia #vpns #internet
9213,people releasing provisional result first take chill pill govt work mysterious way #ugandadecides
9214,"dear mp voted , let know win . , make demand . wait ! #ugandadecides"
9215,pt : ugandan government accused past using surveillance technology target opposition : https://t.co/us7mfnzjmy #ugandadecides
9216,isn't taking away internet taking away people's freedom speech ? get shit together uganda #ugandadecides
9217,#ugandadecides okay . laziness medium house concentrate central ug . peaceful election 99 % uganda & 91 % started time .
9218,download tunnelbear work ! #ugandadecides thing learn wen museveni block social medium
9219,"thanks @ucc_official #dstv mobile money , payway , switched . total black #ugandadecides #ugandaelections"
9220,"everyone talking katanga ground , mutungo #ugandadecides"
9221,even ec didn't answer managed get 100 % voter registration uganda . still persevere #ugandadecides
9222,voting #uganda plagued delay ; social medium shut #ugandadecides https://t.co/zmoimfawif https://t.co/sbji7j7wa5
9223,future start today . ? ? ? go life looking backward . life filled possibility . #ugandadecides #protectyourvotes
9224,look #ugandadecides #ugandaelections u know brother ! https://t.co/62uojo5iis
9225,retweeted mary g ( @gittagrace ) : rukungiri 227 besigye 47 mzee @kizzabesigye1 #ugandadecides
9226,#ugandadecides provisional final . . . mandate announcing final result ec
9227,"#candidate ð ? ¸ ð ø ? , naivity ð ? ¸ ð ? ? smartness ð ? ¸ ð ? ? ð ? ¸ ð ? ? #mbonganawe ð ? ¸ ð ø ? ð ? ¸ ð ø ? ð ? ¸ ð ø ? ð ? ¸ ð ø ? ð ? ¸ ð ø ? #ugandadecides ð ? ¸ ð ø  ð ? ¸ ð ø  ð ? ¸ ð ø  ð ? ¸ ð ø  ð ? ¸ ð ø  #istandforyellow ð ? ¸ ð  ? ð ? ¸ ð  ? https://t.co/bcybz0c0sb"
9228,"may agree wth say , fight right say . information access right . #unblocksocialmedia #ugandadecides"
9229,haha want distance @bryan_oogembo ' comment #ugandadecides support democratic space @itsochola
9230,#ivoted #ugandadecides sluggish election since unprofessional dustric decision mde @ucc_official block ugandan social
9231,"17 : 38 line hour , none making attempt leave . commend fellow patriot . #ugandadecides https://t.co/ejh9b6fbpy"
9232,keep u posted . #ugandadecides https://t.co/fvhb0wresr
9233,"guy , realise "" omusajja agenda "" could actually become truth ? #ugandadecides"
9234,paradigm shift imminent thing happen nocturnal hour politics shine ur eye count ur vote #ugandadecides @winnie_byanyima
9235,provisional result announced presiding officer mentioned polling station . #ugandadecides https://t.co/o81iuvmi5o
9236,watching ubc coverage 4 minute . thought : what's happening ? mbu gov't created env't u thrive #ugandadecides
9237,vote already counted lira . . sevo leading thin margin . #ugandadecides
9238,"@oleitumbi @mutahingunyi , voting going uganda ? still rigging circus kenya ? #ivoted #ugandadecides"
9239,heavy military police deployment mbale municipal council vote counting start polling station #ugandadecides
9240,ugandan government block facebook whatsapp ugandan vote next president https://t.co/jfxewiblcg #ugandadecides
9241,electoral commission announced extended voting time twitter . . . blocked . . . #ugandadecides
9242,"#ugandadecides #musevenidecides . , ec decides"
9243,jpam performing poorly . it's unbelievable . #ugandadecides
9244,"perhaps amazing thing election vigilance populace , zeal & deliberate intention vote #ugandadecides"
9245,@mtnug parodied logo circulating demanding provider enables soc medium https://t.co/rb50yj5rg4 #ugandadecides https://t.co/lf1jjz0khf
9246,charles ngabirano's car spot carrying pre-ticked ballot . parked police #ntungamo #ugandadecides #croozefmnews
9247,please ? pray @ugandaec take note . #peacefirst #ugandadecides https://t.co/n2xepybxqd
9248,might think 1 st election uganda since existence ð ? ¸ ð ? ? ð ? ¸ ð ? ? #ugandadecides
9249,#ugandadecides polling station ; provisional result magwa jinja kizza besigye 495 museveni 168
9250,counting vote mubs get underway . lady holding @kagutamuseveni ballot & sofar 0 . #ugandadecides https://t.co/3okhqtes13
9251,official ec report say poll area affected delay stay open 7 pm . #ugandadecides
9252,"way @ugandaec handled today votin , you'd forgiven 4 thinkin told #jananluwum day #ugandadecides"
9253,it's clear asked u use phone & stand 100 polling area . eh ! #ugandadecides shame ! shame ! shame ! ð ? ¸ ð ?  ð ? ¸ ð ? ?
9254,pres museveni also said anyone announces result electoral commission ' dismantled ' #ugandadecides
9255,counting presidential vote wakiso #ugandadecides @nbstv #excitement rising https://t.co/zchaasusxy
9256,voter gaba told cast vote tomorrow #ugandadecides
9257,finally online thanks vpns . . . . damn ucc #ugandadecides
9258,counting presidential vote wakiso #ugandadecides @nbstv #excitement rising https://t.co/c11dx3uwyc
9259,moment u bypass government get ur net back #ugandadecides
9260,wish uganda right witness . . . #history #ugandadecides
9261,"ballot paper enough , ugandan chose stand behind "" candidate "" . #ugandadecides #ipledgepeaceug https://t.co/ni0cc9sslk"
9262,it's uganda wea insolence n idiocy happens . e . c . utter disgrace nation #ugandadecides https://t.co/s0u5rknqa6
9263,also get creative circumvent block . #ugandadecides https://t.co/2nasu4bwhf
9264,accuse ec many thing can't accuse competence . . #ugandadecides
9265,"thinking friend #uganda today , wish safe fair election ! #ugandadecides #ugandaelections love xx"
9266,time #ivoted #ugandadecides
9267,somebody tell ugandan friend hav tweeted today . ð ? ¸ ð ?  #ugandadecides
9268,using whatever transport mean available kampala move around crew #ugandadecides https://t.co/g5zcirlkjw
9269,@allenasiimwe1 @sudhirntv gr8 knw voting extended 7 pm . hopefully everyone chance cast vote . #ugandadecides
9270,keep update coming polling station . . . #ugandadecides
9271,#ugandadecides waiting kiggudu tell u . done voting
9272,#ugandadecides polling station kiwatule besigye 608 museveni 402 amama 34 #ugandadecides today
9273,plot twist 3 : museveni loses home polling station . #ugandadecides
9274,counting underway #ugandadecides https://t.co/d4v5cbaqt8
9275,provisional result follow @933kfm #ugandadecides
9276,paradigm shift imminent #ugandaelections thing happen nocturnal hour politics shine ur eye count ur vote #ugandadecides
9277,crime preventers ordinary #ugandans - join #peacefirst #ugandadecides https://t.co/5w7zec8tzw
9278,police officer tear gas watching crowd gabba #ugandadecides https://t.co/hvkx0glpno
9279,vote counting begin polling station . #ugandadecides
9280,#tnr : abed bwanika explained voting material delay may force exercise end late night ! #ugandadecides https://t.co/bozt3vwu00
9281,#musevenidecides married 2 presidency death apart . #ugandadecides
9282,heard @ugandaec blocked social medium stop people campaigning . imagine surprise @ntvuganda #ugandadecides https://t.co/7jkmht4wft
9283,busy time @ugandaec chairperson https://t.co/ag5mnqfbj9 #ugandadecides
9284,ð ? ¸ ð ? ¥ ? ? ? stock enough popcorn #ugandadecides comedy show . ð ? ý ð ¸ ?
9285,back polling station 6 tomorrow morning--as believe many neighbourhood #ugandadecides https://t.co/c6jurkmkej
9286,@hkashillingi charm offensive ? #ugandadecides @mariahrwafrica @afpphoto @carldesouza1
9287,oh ! rip . . . exercising right ! unacceptable #ugandadecides https://t.co/8brevtdks4
9288,"not-so-rich ugandan village collected money one opposition leader buying vote , it's time #ugandadecides"
9289,spc ! human . . . #peacefirst #ugandadecides https://t.co/2xxwkzdzih
9290,retweeted 91.3 capital fm ( @913capitalfm ) : #ugandadecides procured @ugandaupf gear transit mombasa . . . . https://t.co/jepsqbgtfy
9291,retweeted 91.3 capital fm ( @913capitalfm ) : #ugandadecides procured @ugandaupf gear transit mombasa . . . . https://t.co/fxb7c0aihs
9292,finally . . . . ð ? ¸ ð ø  #ugandadecides https://t.co/eyxaeu8idj
9293,bukenya ( fmr . uneb secretary ) head ec . dude never mess exam . delivers time . #ugandadecides
9294,hehehe leopard chewed cab . #ugandadecides https://t.co/kjanazqxmg
9295,"@freddy_kamakei @washfellowship @presprecinct thank , hope democracy triumph uganda go poll #ugandadecides"
9296,#uganda police fire tear gas voter angered delay https://t.co/aoku0vlnpz #ugandadecides https://t.co/pymot1x0sh
9297,people kyebando waited 10 hour vote ? smh #ugandadecides
9298,retweeted precious byakutaga ( @kapesabyaku ) : don't afraid vocal please . . . #ugandadecides
9299,#ugandadecides praying peaceful election uganda
9300,@ugandaec made delay extension voting time 7 pm #ugandadecides https://t.co/yk1xoa8msj
9301,15.2 million ugandan registered vote #ugandadecides
9302,"hello fiona , picture cp involved ? share please . #peacefirst #ugandadecides https://t.co/allgg9v7ob"
9303,yikes . . . #ugandadecides #ugandaelections https://t.co/ejgwwdwn8y
9304,. @redlipsteeq meeting . call someone . #ugandadecides
9305,bunga ? see ? please call / text u . share what's happening . #ugandadecides
9306,time check 17 : 34 st paul church polling station kyadondo voting continues peaceful #ugandadecides https://t.co/ggu8nlcebq
9307,crime preventers stweets rough day #ugandadecides
9308,that's back ! #ugandadecides #nationaldrinkwineday https://t.co/buboh5vblw
9309,drive office . vehicle highway jinja #ugandadecides https://t.co/m3rtkqjjtv
9310,#ugandadecides counting started mutungo https://t.co/gfrufkwm8d
9311,"@bebecoolug bambi , even defying candidate blockade social medium ! ! ! interesting ! #ugandadecides @hannahseated"
9312,#ivoted . . . yes yes . . . voted counted polling station candidate 3 vote ð ? ¸ ð ? ? . . ov co third mine #ugandadecides .
9313,okay vote counting start station station finished exercise ? #ugandadecides
9314,"blocked twitter , run announce voting time extension . level idiocy phenomenal ! #ugandadecides"
9315,meanwhile social medium blockage still ? ? #ugandadecides #ugandaelections
9316,vote tallying started polling station . #ugandadecides #ugandaelections
9317,@my polling station kiwatule besigye 608 museveni 402 amama 34 #ugandadecides today
9318,love one . #ugandadecides https://t.co/ofkyefbaw7
9319,kyebando chaos due delayed ballot #ugandadecides
9320,"#ugandadecides #ugandadecides @ugandaec lifted closing time #ugelections 04 : 00 pm , lighting premise ?"
9321,ask term limit @kizzabesigye1 #ugandadecides
9322,regulator's tool book rule no1 never regulate can't regulate . uganda #communications comm forgot ! #ugandadecides #socialmedia
9323,spc perhaps . would need 18 join @ugandaupf #peacefirst #ugandadecides https://t.co/gpt5ck305y
9324,progressive political culture & system expand rather restrict people's freedom . #ugandadecides
9325,@kollinsayz true . #ugandadecides #ugandaelections
9326,street corner . . . paris ! #peacefirst #ugandadecides https://t.co/b70tdjpr7b
9327,candidate defeat @kagutamuseveni #ugandadecides yoweri museveni #musevenidecides cc . @bbcafrica
9328,@freedomevpn thnks guy free uganda dictator going #ugandadecides
9329,#ugandadecides counting vote part country get underway . counting vote announcement . . . https://t.co/i0tgbtuf5n
9330,praying #uganda presidential election today . #ugandadecides
9331,people conditioned expect worst ? i've see #ugandadecides far good
9332,"#ugandavotes , reply yo winner digit po #ugandadecides @kizzabesigye1 tororo kasoli ( 461 ) @kagutamuseveni ( 347 ) @nbstv"
9333,time museveni know . . . #ugandadecides
9334,see change coming . ? ? ? ? ? ? #ugandadecides https://t.co/uckw3sbo7t
9335,""" rowdy voter "" #ugandadecides https://t.co/s2pbsr6nlf"
9336,"computer scientist learnt today , always blame regime #ugandadecides https://t.co/corvi49pn0"
9337,thumb defiant vpn ! ! ! #ugandadecides #ugandaelections
9338,true . entire world watching uganda . ##ugandadecides https://t.co/7lqftbohnk
9339,@oquidave @eristaus @valanchee result tracking site could follow far ? #ugandadecides #ugandaelections #ugdecides
9340,#ugandadecides today presidential election may remain peaceful
9341,following uganda's election day development report apparent social medium shutdown government . #ugandadecides
9342,following uganda's election day development report apparent social medium shutdown government . #ugandadecides
9343,"like history teacher used say , "" time idi amin must turning grave "" #ugandadecides"
9344,give . persevere . . . know ! cast vote #ugandadecides https://t.co/5b84jybse7
9345,"many neighbour haven't seen month ( even year , gosh ) . we've mini reunion queueing polling station . #ugandadecides"
9346,#bigwigs acting cool know vpn . ' 07 access facebook nkozi library #ugandadecides
9347,#ugandadecides . what's new uganda ?
9348,even mobile money purchasing airtime call . . . * hide * #ugandadecides https://t.co/cuui7v5j0n
9349,"#tnr : abed bwanika - "" unrealistic ec official delay voting material k'la & wakiso "" #ugandadecides https://t.co/jguudyaraz"
9350,oba @ugandaec @ugandamediacent & govt guy defying @ucc_official blockade smedia #ugandadecides @fdcofficial1
9351,7 ' arrogance getting grating minute . interview @ntvuganda right making cartoon angry . #ugandadecides
9352,it's going hard candidate accept defeat poorly organised election process . #ugandadecides
9353,"use apps trick access blocked whatsapp , twitter ? ? facebook https://t.co/9kp7tqn8fq?? ­ #ugandadecides"
9354,would say bitmask hotspot shield better trick circumventing #m7 #ugandadecides https://t.co/ead9dittac
9355,vote counting going smoothly kakyeeka stadium mbarara municipality . #ugandadecides
9356,@yoweri_museveni @mwineedgar msg candidate museveni ? #ugandadecides
9357,voting #uganda plagued delay ; social medium shut #ugandadecides https://t.co/l7f5cbeafc https://t.co/z5v4witocc
9358,gabba voter promised chance vote tomorrow ? ? ? ? @electionsug #ugandadecides https://t.co/lgteyamibs
9359,"1 voter alex kasukhutu ( rip ) dy polling station kasese queuing ballot , scorching sun hour #ugandadecides"
9360,"@__shirmcc__ @ali_naka give break , they've since 2011 plan . #justkidding #ugandadecides"
9361,"luzira prison ballot delivered mbale . . . 230 km away . . . "" one job . . . "" #ugandadecides"
9362,rukungiri . . . . certain polling station besigye - 227 m7 - 47 jpam - 1 #ugandadecides
9363,care really wonder museveni feeling right . . . excitement ? confusion ? guilt fear . . . #ugandadecides
9364,"sorry , crime preventer #ugandadecides https://t.co/c95xzn4nmm"
9365,bweyogerere health center 2 besigye 300 museveni 74 counting continues #ugandadecides
9366,vote counting kiwatule kick #ugandadecides #ugandaelections https://t.co/h18sdwp3qk
9367,"i've seen 13 provisional result , kiiza leading . brace "" kibaaki move "" #ugandadecides"
9368,", policer officer crime promoter #ugandadecides https://t.co/c95xzn4nmm"
9369,tunnelbear . ? #peacefirst #ugandadecides https://t.co/v7uv4gwhme
9370,determination look like ! ugandan tried ! #ugandadecides #ugandaelections https://t.co/zu03pprnin
9371,point . . . know possible ! ! ! #ugandadecides https://t.co/bhuzvnokjq
9372,"#ugandadecides : delay 3, 4, 5 even 6 hour inexcusable , won't inspire confidence process , commonwealth observer obasanjo ."
9373,#ugandadecides museveni fucked
9374,election result started coming #ugandadecides
9375,"crime preventers ordinary citizen , one @pyepar #communitypolicing #peacefirst #ugandadecides https://t.co/rn3xur1gg7"
9376,"@therisingpage l , opera mini can't allow upload pic good stuff indeed ( voting part ) ! #ugandadecides"
9377,badru kiggundu failed ugandan . delayed arrival voting material blocking social medium site fail . #ugandadecides
9378,opposition leader kizza besigye voting today : election going win defiance - besigye #ugandadecides
9379,fooling ? #ugandadecides https://t.co/tz8wijnqof
9380,"loving uganda #iloveuganda #ugandadecides beyond drama , r beautiful https://t.co/liaogub936"
9381,journalist friend uganda say social medium access blocked saturday . #ugandadecides
9382,"@daltonkaweesa tire , sweaty , determined . thanks @nbstv best covering #ugandadecides"
9383,"#ugandadecides voting extended til 7 pm #kampala & wakiso district due late delivery material , say @ecuganda ."
9384,think #uganda electoral commission ball announce besigye winner ? #ugandadecides
9385,#ugandadecides vote counting kick #ugandaelections https://t.co/cglecluahw
9386,m7 : people misuse social medium tell lie nrm bot : huh ? told use put statement ! #ugandadecides
9387,#ugandadecides #musevenidecides ?
9388,"said , nrm stronghold issue voting far time concerned . #ugandadecides ."
9389,#ivoted first time experiencing whole voting thing . . . land i've say didn't turn expected ! ! #ugandadecides
9390,someone know ugandan don't ? #ugandadecides procured @ugandaupf gear transit mombasa . https://t.co/qmjsgae3qy
9391,#freedomofexpression #accesstoinformation infringed upon #ugandadecides @opennetafrica https://t.co/ph2ciuc8rq
9392,"understand ugandan democracy , refer event animal farm ! #ec-jothampig outdone ! #ugandadecides"
9393,gon deliver ' em ballot paper gat high . . . . oooo wooo . . . #ecug #ugandadecides
9394,maybe spc #peacefirst #ugandadecides https://t.co/a6oqonmnbt
9395,"hi @ugandaec , @ucc_official twitter ? we've blocked security reason . you're tweeting #ugandadecides"
9396,vote counting member parliament #ugandadecides @ntvuganda @nbstv @oliviaziwa #ugandaelections https://t.co/jfzozvvxox
9397,god deliver #uganda #ugandadecides https://t.co/ybdfc82vrq
9398,"violence , anybody try see - museveni . m7 power heal blind #ugandadecides #wesigebesigye"
9399,tell ! #ugandadecides https://t.co/wvjd8g8gfn
9400,time alive . #ugandadecides ? ? ? ð ? ý ð ? „ ð ? ý ð ? í
9401,"presidential race uganda tight top contender yoweri , kaguta , museveni #ugandadecides"
9402,come hell high water ojagenda cc @kagutamuseveni #ugandadecides
9403,@cobbo3 @kalinaki @kaliox @ssalimart seen ? #ugandadecides https://t.co/yww5w4i2o0
9404,people camp polling station voting begin 3 pm #ugandadecides #ivoted @nbstv @ntvuganda https://t.co/i5flndrj3j
9405,hhmm ! ! ! last 5 year . lot changed . can't keep people dark #ugandadecides https://t.co/bkbv8ljygz
9406,"ugandan place praising #beyonce #formation couldn't go vote , shame . #ugandadecides"
9407,one ? #ugandadecides https://t.co/cz9jzybkih
9408,don't want tweet . . don't want happy . . . another one #ugandadecides https://t.co/u0jifl92zw
9409,uganda wamemaliza kuvote ? n steal like kenya ? #ugandadecides #ugandaelections
9410,ackward moment live tv @wbstvug presenter announces losing internet connection ! #ugandadecides
9411,election observation #uganda : https://t.co/2ef9sw4kmj #ugandadecides #commonwealthelections https://t.co/u1g5qd9nbf
9412,#uganda democracy without free expression ? https://t.co/nl5smk2x1j @smith_jeffreyt @usmissionuganda @dooley_dooley #ugandadecides
9413,jds flexible today . know ucc would ec's pocket day ? #ugandadecides https://t.co/ysncotufpq
9414,come central district major issue ? i've failed get ec communicate #ugandadecides
9415,hope kiggundu sensible enough announce retired tired colonel new president #ugandadecides @kizzabesigye1
9416,pledge #peace #ugandadecides #ugandaelections https://t.co/dnxv4rk7qt
9417,seems m7 determined clear constitutional term office . ð ? ¸ ð ? ¥ ð ? ¸ ð ? ¥ ð ? ¸ ð ? ¥ #ugandadecides
9418,"vote , . #ugandadecides https://t.co/fs4ylvslij"
9419,#ugandadecides transitioned #musevenidecides haha . . . banana republic . literally .
9420,. . . express collective . much relevant guidance #ugandadecides report : https://t.co/ezewmz3akj
9421,#ugandadecides local area radio transmitter calling local go vote #communitythings @5 : 29 pm . #nsambya #uganda
9422,"doesn't sekandi look mirror think , ' i'm old shit ! ' #ugandadecides"
9423,result coming . . . #ugandadecides https://t.co/y3bs4wfaht
9424,#sseya win one . . lol #ugandadecides https://t.co/5guevstr87
9425,thngs cn chnge . . cnt imagine shout @kizzabesigye1 public wthout fear aslap . th ug wnt 2 wakeup 2 mro . #ugandadecides
9426,anyone government irrelevant vp ? #ugandadecides
9427,shop closure n le traffic kla street today beaten record held xmas day #ugandadecides
9428,@patriqkanyomozi ey still callin em free ! really sme ugandan denied ryt vote ? #ugandadecides
9429,"voting today pres museveni told medium going go sleep , see cow exercise #ugandadecides"
9430,"first pharse ( box 1 ) m7 218, besigye 143, mbabazi 4 vote . mbaguta-ruharo mbarara . counting ballot box 2 #ugandadecides"
9431,#ugandadecides ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? funny https://t.co/qka4lmxceo
9432,eeih haven't talked family since yesterday ! nanti #ugandadecides hope safe ! ? ? ? feeling worried
9433,yeth ! ! went voted ! #ivoted ? #ugandadecides #theinkchickmalicedmemehn ! ! https://t.co/1znicvspce
9434,uganda's social medium shutdown last 6 hour . got back online smh #ugandadecides
9435,"@amgodiva crowd polling station , trying make sure everything done right . @therisingpage #ugandadecides https://t.co/349qrqyywi"
9436,"@ucc_official crashing twitter , @ugandaec extended deadline 4 - 7 pm . announced twitter #defiance #ugandadecides"
9437,observation #ugandadecides #musevenidecides well . gift https://t.co/mo7te1jjr6
9438,"@nicktweet2016 spc police constable , perhaps ? ! #peacefirst #ugandadecides"
9439,"#ugandadecides right , #ugandanpolicedecides https://t.co/kndgdoynhk"
9440,"impossible isn't fact , it's attitude . #ugandadecides"
9441,"#defiance wonder , #ucc switch social medium , ugandan defiantly turn vpn . #ugandadecides #musevenidecides"
9442,vote counting underway . result started trickling . #ugandadecides #fb
9443,presidential candidate right . #ugandadecides https://t.co/uybzhwnlk3
9444,polling station declares : museveni 70 besigye 131 #ugandadecides
9445,"despite machination massive rigging , m7 still loses ! #ugandadecides https://t.co/a3mzass9rl"
9446,"week , @mtnug come back y'all ad . #ugandadecides https://t.co/sctcjxzoi2"
9447,#ugandadecides ugandan mobile phone company explains it's election day shut twitter https://t.co/beycrovrgx
9448,uganda electoral commission give update counting every 2 hour #ugandadecides #ichoosepeace #cbea410
9449,"ruhindi county , lad badly beaten @nbstv picture . #ugandadecides"
9450,war coming lady gentleman . . . better buy panga #ugandadecides
9451,sthing wrong wording poll question ? ! . . . misinterpreted #ugandadecides https://t.co/o026rpss16
9452,rising . . . #change #ugandadecides https://t.co/o3nd2verjo
9453,shall still deterred . #ugandadecides https://t.co/oah8nrrtid
9454,"hon . ssekandi voting , must wearing nigina suit . #ugandadecides ð ? ý ð ? ? ð ? ý ð ? « ð ? ý ð ? ? ð ? ý ð ? « ð ? ý ð ? ? ð ? ý ð ? «"
9455,@kennykostick @arinaitwevicto1 sure crime preventers spcs ? #peacefirst #ugandadecides https://t.co/f7naghwspt
9456,"30 year govt . , @kagutamuseveni want ? democracy imposition self centered govt #ugandadecides"
9457,@africasacountry follow @opiaiya #ugandadecides
9458,remember @ugandaec extended voting hour 7 pm still 1.5 hr vote . excuse . every vote count . #ugandadecides
9459,ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? much drama won't surprised hollywood come nice movie based 2016 uganda election #ugandadecides
9460,"election period ask , m7 exit power ( whether time 100 yr ) ? #ugandadecides"
9461,ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? drama real life ? ð ? ¸ ð ?  ð ? ¸ ð ?  ð ? ¸ ð ?  #ugandadecides https://t.co/xmbhcbhnjj
9462,doubt it's jd know ? #ugandadecides https://t.co/ow85h5yosd
9463,"decided , ? #ugandadecides #ugandaelections https://t.co/rfschdtoke"
9464,use cloud vpn app access whatsapp . screw ugandan government . we're becoming like north korea . #ugandadecides
9465,"5 : 25 mt many cast ballot 50 polling station , kampala , wakiso n others #ugandadecides"
9466,pray uganda #ugandadecides
9467,citizen fed ; presidential metusalahs lose #nigeriadecides proved #ugandadecides #ugandaelections https://t.co/d72pqztokd
9468,"first polling station rukungiri count vote see besigye 201 vote , museveni 47 vote . #ugandadecides"
9469,@ucc_official wanted say hello . . social #ugandadecides 2016
9470,5 : 30 pm vote counting currently way number polling station across uganda . #ugandadecides https://t.co/voosmxyamw
9471,@beewol - illegal rule . law stop people sharing result polling station counting happened . #ugandadecides
9472,tweet day ! ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? #ugandadecides https://t.co/u7q49giasf
9473,#ugandadecides : voting wumeya st peter's nsumbi polling station wakiso suspended . . . https://t.co/t6e0109yej
9474,"free fair , right ? #ugandadecides https://t.co/ymvx50bcmr"
9475,"150, 000 security deployed uganda country's election #ugandadecides #ichoosepeace #cbea410"
9476,hahahahah . naye katemba election . even wind participated . #ugandadecides https://t.co/jvodfkv5le
9477,resident #kampala line place vote #ugandaelections : https://t.co/1o5wpx65hi #ugandadecides https://t.co/gt8ybfyghf
9478,"i've braved sun voted , that's called #defiance #ugandadecides"
9479,#tnr #ugandadecides report [ photo ] : nrm ? ? ? johnson . ssenyonga contesting mukono south mp seat cc . @newvisionwire https://t.co/5c6vbwywwt
9480,"news . . . kampala-masaka highway clear , see number polling station still open #ugandadecides"
9481,#ugandadecides leopard already decided . smh . https://t.co/lzdph7jlxi
9482,#ugandadecides would trending af ucc fella hadn't shut wanainchi @tbukumunhe @pyepar
9483,bambe @ntvuganda think perfect time play pre recorded museveni interview voting go way ! ! ? ? #ugandadecides
9484,@benjaahedwards lord help u lol #ugandadecides
9485,""" @qenantrejo : rubaare 1 polling station sevo 168 beso 181 #ugandadecides "" get 168"
9486,take selfie dictator . . . #ugandadecides #musevenidecides https://t.co/j8djxksgy0
9487,download cloud vpn unblock whatsapp . . . screw ugandan government . #ugandadecides .
9488,hehe u see reason social medium shut . . . . #ugandadecides https://t.co/ex9y6xggnd
9489,leopard scared . . damn #ugandadecides https://t.co/rabzlhiws5
9490,@redlipsteeq using vote gadaffi thing #noviolence target #ugandadecides
9491,10 hour scotching sun #ugandadecides #ivoted https://t.co/vahnftadpt
9492,god must crazy #ugandadecides https://t.co/ouvsaazz0p
9493,youth aren't looking trouble . government trying upset trouble #ugandadecides https://t.co/bq9ydzka9c
9494,"social medium , charge phone coz power next #ugandadecides"
9495,@ucc_official died movie ! ! ! ! ! hahaha #ugandadecides
9496,#ugandadecides counting vote wakiso https://t.co/ttwp48k46e
9497,"blocking social medium solution , well solution create problem . #ugandadecides world know"
9498,"hope someone tallying result coming . warren b leading far , might change cover night . #ugandadecides"
9499,live tally #ugandadecides : https://t.co/plxs9g7bxb https://t.co/0pntdurtxl
9500,excitement first time vote ! wow ! #ugandadecides
9501,"@geobilljuice keep eye page , report concerning election linked : https://t.co/3gnvzwrw0t #ugandadecides"
9502,#musevenidecides trending . leave alone #ugandadecides https://t.co/cugi3mrhz3
9503,"result start trickling place counting happened . #musevenidecides #ugandadecides others continue vote , till 7 pm ."
9504,crime prevention taking care - kudos @davidtumusiime #peacefirst #ugandadecides https://t.co/ungvbnxdzq
9505,sorry ð ? ¸ ð ? © ð ? ¸ ð ? © #ugandadecides https://t.co/cme1oxvbav
9506,interesting @mtnug @airtel_ug issue apology platform blocked . joke #ugandadecides
9507,#ugandadecides gone trending . 3 #twitter internet access social medium ð ? ¸ ð „ ÷ ?  ? https://t.co/r403hlryqu
9508,lousy . ð ? ¸ ð ? ¥ ð ? ¸ ð ? ¥ #ugandadecides https://t.co/t5disygpbl
9509,vpns #ugandadecides #ugandaelections
9510,look like one can't blocked social medium . #ugandadecides https://t.co/hkynz6csaa
9511,normal internet access available uganda #ugandadecides
9512,blocking social medium #ugandadecides https://t.co/x3a3xybpsp. serious stain credibility ( 1 / 3 )
9513,museveni explains social medium shutdown https://t.co/8yewtrtd6p via @dailynation #musevenidecides #ugandadecides
9514,#ugandadecides [ photo ] : old woman kisowera p / nama sub county helped granddaughter vote ! https://t.co/5bajzaiz1d
9515,way cried fowl shutdown social medium broken medical education system . #ugandadecides
9516,voting makindye still going till 7 pm due delayed arrival voting material #voteamama #kiggwaleero #ugandadecides
9517,result beginning come #ugandadecides https://t.co/ppxv8w58ht
9518,"aye @skaheru since gave explanation everything , care explain ? #ugandadecides https://t.co/5b5xphzxep"
9519,"surprisingly , #ugandadecides made famous trending kenyan tweeps . smh . . ."
