,tweets
141,seeing tweet @nbstv result giving ! medium need careful ! akalulu tekabatwala #ugandadecides https://t.co/hl1lve9xzf
142,@ugandaupf really hound man besigye . time ? #ugandaelections #ugandadecides @fdcofficial1 https://t.co/tsftk2dz2a
143,pre-election #riots #uganda picture gilbert bwette #youthjournalisminternational #ugandadecides . . . https://t.co/wjfgcd7vfa
144,level compassion commitment change election powerful #ugandadecides #ugandavotes
145,ugandan police spin narrative say taken besigye home rest #ugandadecides
146,besigye . besigye . #besigye . woman announced #rukungiri result deserves kiboko . seemed enjoy chorus . #ugandadecides
147,#uganda block social #media mobile phone service voting : https://t.co/3zt8qkezy5 #ugandadecides #journalismisnotacrime
148,check twitter data analytics #ugandadecides #ugandaelections https://t.co/yejhlstmdt https://t.co/2tuwi7vu95
149,wish . . . you'd understand m7 can't win #ugandadecides #ugandaelections #besigyewon https://t.co/ywbxmsecvx
150,mabirizi beat mbabazi know witchcraft real ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ohhhh #ugandadecides . .
151,clearly counting vote 2001 . #ugandadecides https://t.co/snaqbc1y57
152,"10 : 02 pm #provisionalresults : result 491 28,010 polling station tallied far ( 1.75 % ) #ugandadecides https://t.co/6vldnzrkby"
153,"don't blame , people dying hunger jigger & someone offer money , think maybe it'd help . #ugandadecides"
154,reason desparetly need change . . . #democracyinuganda look like ! ! #ugandadecides https://t.co/qpo6celtcv
155,amama's vote counted using abacus ð ? ¸ ð ? ? ð ? ¸ ð ? ? #ugandadecides
156,thank . #ugandadecides https://t.co/f0xl3frlqt
157,#ugandadecides #musevenidecides mugabe waiting final result like . . https://t.co/ua54zctdkn
158,amazing @ntvuganda going commentary whether mbabazi come back next election ! ! poll closed pipo #ugandadecides
159,yes - election isn't abt @kizzabesigye1 it's abt best deal 4 ugandan . settling score . #ugandadecides https://t.co/yv0bxcevel
160,"@archiehenry2 afther rural area boum museveni win come , 4 sure ! @upfrontafrica @dailymonitor #ugandadecides"
161,wonder mabirizi looking coz hearing every polling station < 1 vote #ugandadecides # ipledgeforpeace
162,ugandan mock attempt censor online activity election day https://t.co/drp0y7n7ib #ugandadecides https://t.co/at3s4drvp9
163,"knew would happen #ugandadecides uganda shuts social medium , candidate arrested election day @cnni https://t.co/6mro1yger5"
